Id,Año,Mes,Punto de Muestreo,Color Max: 15 Ud: pl/mg,Olor,Sabor,Cloro Libre,Turbidez,pH,Conductividad,Temperatura , Dureza,Nitratos,Nitritos,Amonio,Cloruros,Fluor,Sodio,Aluminio,Trihalometanos,Oxidabilidad,Bacterías Coliformes,Enterococos,Gérmenes Totales a 22ºC,Escherichia coli,Clostridium perfringens,Pseudomonas aeruginosa,Calcio,Magnesio
"55,""2022"",""junio"",""Salida de los depósitos de Roces"",""3"",""1"",""1"",""0,47"",""0,9"",""7,8"",""221"",""14,2"",""110"","""",""<0.025"",""<0.15"","""","""","""",""0,048"",""0,03"",""0,8"",""0"",""0"",""0"",""0"",""0"",""0"","""","""""
"52,""2022"",""marzo"",""Salida de los depósitos de Roces"",""5"",""1"",""1"",""0,39"",""1,3"",""8,0"",""221"",""10,1"",""111"",""2,3"",""<0,025"",""<0,15"",""4,9"",""0,11"",""3,1"",""0,017"",""0,03"",""0,2"",""0"",""0"",""3"",""0"",""0"",""0"",""41,1"",""4,5"""
"51,""2022"",""febrero"",""Salida de los depósitos de Roces"",""2"",""1"",""1"",""0,41"",""0,6"",""7,9"",""214"",""9.6"",""107"",""1,9"",""<0,025"",""<0,15"",""4,6"",""0,12"",""2,9"",""0,049"",""0,03"",""0,2"",""0"",""0"",""3"",""0"",""0"",""0"",""37,8"",""5,4"""
"50,""2022"",""enero"",""Salida de los depósitos de Roces"",""6"",""1"",""1"",""0,52"",""1,1"",""8,0"",""197"",""10,3"",""98"",""2,0"",""<0,025"",""<0,15"",""3,7"",""0,16"",""2,4"",""0,020"",""0,03"",""0,4"",""0"",""0"",""4"",""0"",""0"",""0"",""36,4"",""3,4"""
"49,""2021"",""diciembre"",""Salida de los depósitos de Roces"",""<2"",""1"",""1"",""0,53"",""0,4"",""7,8"",""190"",""10,3"",""95"",""1,5"",""<0,025"",""<0,15"",""9,1"",""0,10"",""4,1"",""0,050"",""0,03"",""0,6"",""0"",""0"",""0"",""0"",""0"",""0"",""31,2"",""4,6"""
"48,""2021"",""Noviembre"",""Salida de los depósitos de Roces"",""<2"",""1"",""1"",""0,4"",""0,18"",""7,8"",""230"",""13,5"",""115"",""1,6"",""<0,025"",""<0,15"",""4,7"",""0,15"",""3,1"",""0,088"",""0,03"",""0,5"",""0"",""0"",""0"",""0"",""0"",""0"",""41,1"",""5,4"""
"47,""2021"",""Octubre"",""Salida de los depósitos de Roces"",""<2"",""1"",""1"",""0,49"",""0,48"",""7,9"",""230"",""15,1"",""115"",""1,8"",""<0,025"",""<0,15"",""5,7"",""0,14"",""3,2"",""0,044"",""0,03"",""0,8"",""0"",""0"",""1"",""0"",""0"",""0"",""41,3"",""5,3"""
"46,""2021"",""Septiembre"",""Salida de los depósitos de Roces"",""<2"",""1"",""1"",""0,54"",""0,25"",""7,8"",""212"",""16,0"",""106"",""1,8"",""<0,025"",""<0,15"",""5,5"",""0,15"",""2,7"",""0,055"",""0,03"",""1,7"",""0"",""0"",""2"",""0"",""0"",""0"",""34,8"",""4,6"""
"45,""2021"",""Agosto"",""Salida de los depósitos de Roces"",""3"",""1"",""1"",""0,38"",""0,53"",""7,5"",""214"",""15,1"",""107"",""1,7"",""<0,025"",""<0,15"",""5,3"",""0,14"",""2,6"",""0,042"",""0,03"",""0,9"",""0"",""0"",""6"",""0"",""0"","""",""34,3"",""4,6"""
"44,""2021"",""Julio"",""Salida de los depósitos de Roces"",""<2"",""1"",""1"",""0,49"",""0,32"",""7,8"",""211"",""13,7"",""105"",""1,9"",""<0,025"",""<0,15"",""4,6"",""0,14"",""2,6"",""0,041"",""0,03"",""0,7"",""0"",""0"",""1"",""0"",""0"",""0"",""34,6"",""4,6"""
"43,""2021"",""Junio"",""Salida de los depósitos de Roces"",""<2"",""1"",""1"",""0,48"",""0,60"",""7,7"",""212"",""12,5"",""114"",""1,9"",""<0,025"",""<0,15"",""4,7"",""0,14"",""2,9"",""0,031"",""0,03"",""0,9"",""0"",""0"",""3"",""0"",""0"",""0"",""36,5"",""4,9"""
"42,""2021"",""Mayo"",""Salida de los depósitos de Roces"",""4"",""1"",""1"",""0,48"",""0,44"",""7,8"",""199"",""10,4"",""104"",""1,8"",""<0,025"",""<0,15"",""4,6"",""0,14"",""2,7"",""0,031"",""0,03"",""0,9"",""0"",""0"",""1"",""0"",""0"",""0"",""34,1"",""4,6"""
"41,""2021"",""Abril"",""Salida de los depósitos de Roces"",""4"",""1"",""1"",""0,43"",""0,66"",""7,6"",""217"",""10,7"",""111"",""1,9"",""<0,025"",""<0,15"",""4,6"",""0,13"",""2,8"",""0,029"",""0,03"",""0,9"",""0"",""0"",""1"",""0"",""0"",""0"",""34,9"",""4,9"""
